Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
keratan sulfate I, degradation product 29						
keratan sulfate I, degradation product 3						
keratan sulfate I, degradation product 30						
keratan sulfate I, degradation product 31						
keratan sulfate I, degradation product 32						
keratan sulfate I, degradation product 33						
keratan sulfate I, degradation product 34						
keratan sulfate I, degradation product 35						
keratan sulfate I, degradation product 36						
keratan sulfate I, degradation product 37						
keratan sulfate I, degradation product 38						
keratan sulfate I, degradation product 39						
keratan sulfate I, degradation product 4						
keratan sulfate I, degradation product 40						
keratan sulfate I, degradation product 41						
keratan sulfate I, degradation product 5						
keratan sulfate I, degradation product 6						
keratan sulfate I, degradation product 7						
keratan sulfate I, degradation product 8						
keratan sulfate I, degradation product 9						
keratan sulfate I biosynthesis, precursor 1						
keratan sulfate I biosynthesis, precursor 10						
keratan sulfate I biosynthesis, precursor 11						
keratan sulfate I biosynthesis, precursor 12						
keratan sulfate I biosynthesis, precursor 13						
keratan sulfate I biosynthesis, precursor 14						
keratan sulfate I biosynthesis, precursor 15						
keratan sulfate I biosynthesis, precursor 16						
keratan sulfate I biosynthesis, precursor 17						
keratan sulfate I biosynthesis, precursor 18						
keratan sulfate I biosynthesis, precursor 19						
keratan sulfate I biosynthesis, precursor 2						
keratan sulfate I biosynthesis, precursor 20						
keratan sulfate I biosynthesis, precursor 21						
keratan sulfate I biosynthesis, precursor 22						
keratan sulfate I biosynthesis, precursor 23						
keratan sulfate I biosynthesis, precursor 24						
keratan sulfate I biosynthesis, precursor 25						
keratan sulfate I biosynthesis, precursor 26						
keratan sulfate I biosynthesis, precursor 27						
keratan sulfate I biosynthesis, precursor 28						
keratan sulfate I biosynthesis, precursor 29						
keratan sulfate I biosynthesis, precursor 3						
keratan sulfate I biosynthesis, precursor 30						
keratan sulfate I biosynthesis, precursor 31						
keratan sulfate I biosynthesis, precursor 32						
keratan sulfate I biosynthesis, precursor 33						
keratan sulfate I biosynthesis, precursor 34						
keratan sulfate I biosynthesis, precursor 35						
keratan sulfate I biosynthesis, precursor 36						
keratan sulfate I biosynthesis, precursor 4						
keratan sulfate I biosynthesis, precursor 5						
keratan sulfate I biosynthesis, precursor 6						
keratan sulfate I biosynthesis, precursor 7						
keratan sulfate I biosynthesis, precursor 8						
keratan sulfate I biosynthesis, precursor 9						
keratan sulfate II (core 2-linked)						
keratan sulfate II (core 2-linked), degradation product 1						
keratan sulfate II (core 2-linked), degradation product 2						
keratan sulfate II (core 2-linked), degradation product 3						
keratan sulfate II (core 2-linked), degradation product 4						
keratan sulfate II (core 2-linked), degradation product 5						
keratan sulfate II (core 2-linked), degradation product 6						
keratan sulfate II (core 2-linked), degradation product 7						
keratan sulfate II (core 2-linked), degradation product 8						
keratan sulfate II (core 2-linked), degradation product 9						
keratan sulfate II biosynthesis, precursor 1						
keratan sulfate II biosynthesis, precursor 10						
keratan sulfate II biosynthesis, precursor 2						
keratan sulfate II biosynthesis, precursor 3						
keratan sulfate II biosynthesis, precursor 4						
keratan sulfate II biosynthesis, precursor 5						
keratan sulfate II biosynthesis, precursor 6						
keratan sulfate II biosynthesis, precursor 7						
keratan sulfate II biosynthesis, precursor 8						
keratan sulfate II biosynthesis, precursor 9						
keratan sulfate II (core 4-linked)						
keratan sulfate II (core 4-linked), degradation product 1						
keratan sulfate II (core 4-linked), degradation product 2						
keratan sulfate II (core 4-linked), degradation product 3						
keratan sulfate II (core 4-linked), degradation product 4						
keratan sulfate II biosynthesis, precursor 1						
keratan sulfate II biosynthesis, precursor 10						
keratan sulfate II boisynthesis, precursor 2						
keratan sulfate II biosynthesis, precursor 3						
keratan sulfate II biosynthesis, precursor 4						
keratan sulfate II biosynthesis, precursor 5						
keratan sulfate II biosynthesis, precursor 6						
keratan sulfate II biosynthesis, precursor 7						
keratan sulfate II biosynthesis, precursor 8						
keratan sulfate II biosynthesis, precursor 9						
kynurenate	HCZHHEIFKROPDY-UHFFFAOYSA-N	18344	HMDB00715	C01717	3845	
{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine						
de-Fuc, reducing GlcNAc removed, de-Sia form of PA6 (w/o peptide linkage)						
(Gal)2-Xyl-L-Ser (protein)				C04825		
(R)-lactate	JVTAAEKCZFNVCJ-UWTATZPHSA-N	42111	HMDB01311	C00256	61503	
(S)-lactate	JVTAAEKCZFNVCJ-REOHCLBHSA-N	422	HMDB00190	C00186	107689	
(R)-lactaldehyde	BSABBBMNWQWLLU-GSVOUGTGSA-N	17167	HMDB06458	C00937	439350	
(S)-lactaldehyde	BSABBBMNWQWLLU-VKHMYHEASA-N	18041	HMDB03052	C00424	439231	
lanosterol	CAHGCLMLTWQZNJ-BQNIITSRSA-N	16521	HMDB01251	C01724	246983	LMST01010017
Lactose	GUBGYTABKSRVRQ-QKKXKWKRSA-N	17716	HMDB00186	C00243	440995	
L-leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N	15603	HMDB00687	C00123	6106	LMFA01100048
Leucylglycine					97364	
leukotriene A4(1-)	UFPQIRYSPUYQHK-OALUTQOASA-N	15651	HMDB01337	C00909	5280383	LMFA03020023
leukotriene B4(1-)	VNYSSYRCGWBHLG-RTBURBONSA-N	15647	HMDB01085	C02165	5280492	LMFA03020001
w-carboxy leukotriene B4	SXWGPVJGNOLNHT-QZTJIDSGSA-N	27562	HMDB06059	C05950	5280877	LMFA03020016
w-hydroxyl leukotriene B4	PTJFJXLGRSTECQ-RTBURBONSA-N	15646	HMDB01509	C04853	440514	LMFA03020018
leukotriene C4(2-)	GWNVDXQDILPJIG-OJJQZRKESA-N	16978	HMDB01198	C02166	5280493	LMFA03020003
Leukotriene D4	YEESKJGWJFYOOK-FDFHNCONSA-N	28666	HMDB03080	C05951	6435286	LMFA03020006
leukotriene E4(1-)	OTZRAYGBFWZKMX-PCCBWWKXSA-N	15650	HMDB02200	C05952	440857	LMFA03020002
leukotriene F4	PYSODLWHFWCFLV-NAVOZUGXSA-N	27491	HMDB06465	C06462	5280938	LMFA03020009
Leucylleucine				C11332	94244	
lignocerate	QZZGJDVWLFXDLK-UHFFFAOYSA-N	28866	HMDB02003	C08320	11197	LMFA01010024
lignocericyl coenzyme A	MOYMQYZWIUKGGY-JTMXAWMTSA-N		HMDB06526	C16529	53477849	
lignoceryl carnitine						
(R)-S-lactoylglutathionate(1-)	VDYDCVUWILIYQF-CSMHCCOUSA-N	15694	HMDB01066	C03451	440018	
limonene	XMGQYMWWDOXHJM-UHFFFAOYSA-N	15383	HMDB03375	C00521	439250	LMPR0102090002
lipoate	AGBQKNBQESQNJD-UHFFFAOYSA-N	30314	HMDB01451	C16241	6112	LMFA01130001
linoelaidic acid (all trans C18:2)	OYHQOLUKZRVURQ-UHFFFAOYSA-N		HMDB06270		5282457	LMFA01030123
linoelaidic acid ACP (all trans)						
linoelaidyl coenzyme A						
Linoelaidyl carnitine	MJLXQSQYKZWZCB-UHFFFAOYSA-N		HMDB06461		53477834	
linoleate	OYHQOLUKZRVURQ-UHFFFAOYSA-N	17351	HMDB00673	C01595	5280450	LMFA01030120
linoleic acid ACP (all cis)				C16160		
linoleic coenzyme A	YECLLIMZHNYFCK-UHFFFAOYSA-N	15530	HMDB01064	C02050	5280482	
Linoleyl carnitine	MJLXQSQYKZWZCB-HSZRJFAPSA-N		HMDB06469		6450015	LMFA07070009
alpha-linolenate	DTOSIQBPPRVQHS-UHFFFAOYSA-N	27432	HMDB01388	C06427	5280934	LMFA01030152
alpha-Linolenoyl-CoA	OMKFKBGZHNJNEX-LFZQUHGESA-N	51985	HMDB06290	C16162	53477815	LMFA07050045
alpha-linolenyl carnitine	DFVGGGHKDAHYIU-QHCPKHFHSA-N		HMDB06319		53477821	
gamma-linolenate	VZCCETWTMQHEPK-UHFFFAOYSA-N	28661	HMDB03073	C06426	5280933	LMFA01030141
gamma-linolenoyl-CoA(4-)	XZQYPTBYQYZGRU-LFZQUHGESA-N	15508	HMDB06368	C03035	11966132	
gamma-linolenyl carnitine	VDPMHVILMVSAQX-QHCPKHFHSA-N		HMDB06318		53477819	
lipoamide	FCCDDURTIIUXBY-UHFFFAOYSA-N	17460	HMDB00962	C00248	863	LMFA08010006
lysophosphatidylcholine		11230				
Lipoylprotein		15804				
5alpha-cholest-7-en-3beta-ol	IZVFFXVYBHFIHY-SKCNUYALSA-N	17168	HMDB01170	C01189	65728	LMST01010089
Lumisterol 3	UCTLRSWJYQTBFZ-XMVWLVNMSA-N		HMDB06505		111049	LMST01010247
Gal-Xyl-L-Ser (protein)				C01287		
L-lysinium(1+)	KDXKERNSBIXSRK-YFKPBYRVSA-N	18019	HMDB00182	C00047	5962	
L-lyxonate	QXKAIJAYHKCRRA-UHFFFAOYSA-N			C05412	644110	
10fthf5glu[c]						
alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human liver homolog		28067				
alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human uterine homolog		28067				
(dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6)						
dimannosyl-glucosaminyl-acylphosphatidylinositol (H3)						
(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	ANPUOEHHKRCFGW-NRDBFSGKSA-N		HMDB06537		53477854	
(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog		28049				
(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog		28049				
(trimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (M4C)						
trimannosyl-glucosaminyl-acylphosphatidylinositol (H4)						
(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human liver homolog		37632				
(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human uterine homolog		37632				
(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)				C05881		
(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog		37633				
(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog		37633				
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog		37634				
(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog		37634				
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)						
(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog		37635				
(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog		37635				
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)						
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)						
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)						
(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog		37636				
(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog		37636				
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)				C05876		
(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog		59093				
(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog		59093				
mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A)						
mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A))						
mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol-Protein (M4A)					[]	
monoacylglycerol 2						
Malonyl-[acyl-carrier protein]		58107				
(S)-malate(2-)	BJEPYKJPYRNKOW-REOHCLBHSA-N	30797	HMDB00156	C00149	222656	
Malonyl-CoA	LTYOQGRJFJAKNA-DVVLENMVSA-N	15531	HMDB01175	C00083	10663	
Maltose	GUBGYTABKSRVRQ-PICCSMPSSA-N	17306	HMDB00163	C00208	439186	
maltoheptaose	BNABBHGYYMZMOA-ZTXRWUICSA-N		HMDB13000			
Maltohexaose	OCIBBXPLUVYKCH-LIGGPISVSA-N	61953	HMDB12253	C01936	439606	
maltopentaose	FTNIPWXXIGNQQF-DWTFCAFKSA-N	61952	HMDB12254		13489094	
maltotriose	FYGDTMLNYKFZSV-PXXRMHSHSA-N	27931	HMDB01262	C01835	439586	
Maltotetraose	LUEWUZLMQUOBSB-AYQJAVFRSA-N	28460	HMDB01296	C02052	439639	
D-Mannose	WQZGKKKJIJFFOK-QTVWNMPRSA-N	4208	HMDB00169	C00159	18950	
D-Mannose 1-phosphate	HXXFSFRBOHSIMQ-QTVWNMPRSA-N	35374	HMDB06330	C00636	644175	
D-Mannose 6-phosphate	NBSCHQHZLSJFNQ-RWOPYEJCSA-N	49728	HMDB01078	C00275	65127	
Melanin						
melatonin	DRLFMBDRBRZALE-UHFFFAOYSA-N	16796	HMDB01389	C01598	896	
({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)						
({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol-Protein (M4B)						
(mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B)						
methanol	OKKJLVBELUTLKV-UHFFFAOYSA-N	17790	HMDB01875	C00132	887	
Metanephrine	JWJCTZKFYGDABJ-UHFFFAOYSA-N	144365	HMDB04063	C05588	21100	
3-Mercaptolactate	OLQOVQTWRIJPRE-UHFFFAOYSA-N	28580	HMDB02127	C05823	160645	
3-mercaptolactate-cysteine disulfide	MAFDYIDMXCXBRB-WUCPZUCCSA-N		HMDB06512		193536	
3-mercaptopyruvate	OJOLFAIGOXZBCI-UHFFFAOYSA-N	16208	HMDB01368	C00957		
Mesaconyl-CoA	LVBVWNJPMXCQJE-CITAKDKDSA-N	27969		C06028	5280895	
Mesaconate	HNEGQIOMVPPMNR-UHFFFAOYSA-N	16600	HMDB00749	C01732	638129	LMFA01170116
L-methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N	16643	HMDB00696	C00073	6137	
5,10-Methenyltetrahydrofolate	MEANFMOQMXYMCT-OLZOCXBDSA-M	57455	HMDB01354	C00445	644350	
(R)-mevalonate	KJTLQQUUPVSXIM-ZCFIWIBFSA-N	17710	HMDB00227	C00418	439230	LMFA01050352
mannosyl-glucosaminyl-acylphosphatidylinositiol (H2)						
N(tele)-methylhistaminium	FHQDWPCFSJMNCT-UHFFFAOYSA-N	29009	HMDB00898	C05127	3614	
myo-inositol 1,3,4,5,6-pentakisphosphate(10-)	CTPQAXVNYGZUAJ-KXXVROSKSA-N	16322	HMDB03529	C01284		
1D-myo-inositol 1,3,4,5-tetrakisphosphate(8-)	CIPFCGZLFXVXBG-CNWJWELYSA-N	16783	HMDB01059	C01272	107758	
myo-inositol 1,3,4,6-tetrakisphosphate(8-)	ZAWIXNGTTZTBKV-JMVOWJSSSA-N	16155	HMDB01187	C04477		
1D-myo-inositol 1,3,4-trisphosphate(6-)	MMWCIQZXVOZEGG-MLQGYMEPSA-N	18228	HMDB01143	C01243	439455	
1D-myo-Inositol 1,3-bisphosphate	PUVHMWJJTITUGO-FICORBCRSA-N	18225	HMDB06234	C04062		
1D-myo-inositol 1,4,5,6-tetrakisphosphate(8-)	MRVYFOANPDTYBY-YORTWTKJSA-N	16067	HMDB04527	C11555	443266	
1D-myo-inositol 1,4,5-trisphosphate(6-)	MMWCIQZXVOZEGG-XJTPDSDZSA-N	16595	HMDB01498	C01245	439456	
(1R,2R,3R,4R,5R,6S)-2,3,5,6-tetrahydroxy-4-(phosphonatooxy)cyclohexyl phosphate	PELZSPZCXGTUMR-RTPHHQFDSA-N	17816	HMDB00968	C01220		
1D-myo-inositol 1-phosphate(2-)	INAPMGSXUVUWAF-UOTPTPDRSA-N	18297	HMDB02985	C01177		
1D-myo-inositol 3,4,5,6-tetrakisphosphate(8-)	MRVYFOANPDTYBY-UZAAGFTCSA-N	15844	HMDB03848	C04520	121920	
1D-myo-Inositol 3,4-bisphosphate	MCKAJXMRULSUKI-CNWJWELYSA-N	28858	HMDB06235	C04063	440211	
1D-myo-inositol 3-phosphate(2-)	INAPMGSXUVUWAF-PTQMNWPWSA-N	18169	HMDB06814	C04006	440194	
1D-myo-inositol 4-phosphate(2-)	INAPMGSXUVUWAF-CNWJWELYSA-N	18384	HMDB01313	C03546		
(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	HHKPKXCSHMJWCF-WVBDSBKLSA-N	15607	HMDB06471	C04593	5459784	
myo-inositol hexakisphosphate(12-)	IMQLKJBTEOYOSI-GPIVLXJGSA-N	17401	HMDB03502	C01204	890	
5,10-Methylenetetrahydrofolate	QYNUQALWYRSVHF-PZORYLMUSA-N	15636	HMDB01533	C00143	439175	
methylammonium	BAVYZALUXZFZLV-UHFFFAOYSA-N	16830	HMDB00164	C00218	6329	
(R)-methylmalonyl-CoA(5-)	MZFOKIKEPGUZEN-AGCMQPJKSA-N	15465	HMDB01269	C00683	439291	
(S)-methylmalonyl-CoA(5-)	MZFOKIKEPGUZEN-IBNUZSNCSA-N	15466	HMDB02310	C00683	21252287	
beta-1,4-mannose-N-acetylglucosamine	KFEUJDWYNGMDBV-MMOUBBDDSA-N		HMDB06535		53477853	
beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human liver homolog		18396				
beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human uterine homolog		18396				
3-oxopropanoate	OAKURXIZZOAYBC-UHFFFAOYSA-N	17960	HMDB11111	C00222	868	
methylglyoxal	AIJULSRZWUXGPQ-UHFFFAOYSA-N	17158	HMDB01167	C00546	880	
Myristoyl-ACP (n-C14:0ACP)		50651				
((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)				C11530		
de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)						
n2m2nmasn (w/o peptide linkage)						
N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R				C04946		
reducing GlcNAc removed form of n2m2nmasn (w/o peptide)						
((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)						
4-acetamidobutanal	DDSLGZOYEPKPSJ-UHFFFAOYSA-N	7386	HMDB04226	C05936	440850	
((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)						
((N-acetyl-D-glucosaminyl)5-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)						
N(8)-acetylspermidinium(2+)	FONIWJIDLJEJTL-UHFFFAOYSA-N	27911	HMDB02189	C01029	123689	
Sodium	FKNQFGJONOIPTF-UHFFFAOYSA-N	29101	HMDB00588	C01330	923	
Nicotinate	PVNIIMVLHYAWGP-UHFFFAOYSA-N	15940	HMDB01488	C00253	938	
Nicotinamide adenine dinucleotide	BAWFJGJZGIEFAR-NNYOXOHSSA-M	15846	HMDB00902	C00003	5893	
Nicotinamide adenine dinucleotide - reduced	BOPGDPNILDQYTO-NNYOXOHSSA-N	16908	HMDB01487	C00004	439153	
Nicotinamide adenine dinucleotide phosphate	XJLXINKUBYWONI-NNYOXOHSSA-K	18009	HMDB00217	C00006	5886	
Nicotinamide adenine dinucleotide phosphate - reduced	ACFIXJIJDZMPPO-NNYOXOHSSA-N	57783	HMDB00221	C00005	22833512	
N-Acetyl-D-glucosaminyldiphosphodolichol, human liver homolog		18278				
N-Acetyl-D-glucosaminyldiphosphodolichol, human uterine homolog		18278				
Nicotinamide	DFPAKSUCGFBDDF-UHFFFAOYSA-N	17154	HMDB01406	C00153	936	
N-formylanthranilate	LLLPDUXGHXIXIW-UHFFFAOYSA-N	36575	HMDB04089	C05653	101399	
Ammonium	QGZKDVFQNNGYKY-UHFFFAOYSA-N	28938	HMDB00051	C00014	223	
Nicotinate D-ribonucleoside	PUEDDPCUCPRQNY-ZYUZMQFOSA-O	27748	HMDB06809	C05841	161234	
Nicotinate D-ribonucleotide	JOUIQRNQJGXQDC-ZYUZMQFOSA-L	57502	HMDB01132	C01185	53477721	
nifedipine	HYIMSNHJOBLJNT-UHFFFAOYSA-N	7565		C07266	4485	
(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)				C05884		
(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)				C05882		
NMN	DAYLJWODMCOQEW-TURQNECASA-M	16171	HMDB00229	C00455	14180	
N-methylputrescinium(2+)	RMIVMBYMDISYFZ-UHFFFAOYSA-N	17166	HMDB03661	C02723	439791	
N-Methylserotonin	ASUSBMNYRHGZIG-UHFFFAOYSA-N	48294	HMDB04369	C06212	150885	
Nitric oxide	MWUXSHHQAYIFBG-UHFFFAOYSA-N	16480	HMDB03378	C00533	145068	
Nitrite	IOVCWXUNBOPUCH-UHFFFAOYSA-N	16301	HMDB02786	C00088	24529	
nonanoylcoa	WLDUTYVSAGSKIV-YUXRTGJASA-N	27770	HMDB13028	C01942	439607	
L-Normetanephrine	YNYAYWLBAHXHLL-UHFFFAOYSA-N	144308	HMDB00819	C05589	1237	
naphthalene	UFWIBTONFRDIAS-UHFFFAOYSA-N	16482		C00829	931	
Norepinephrine	SFLSHLFXELFNJZ-UHFFFAOYSA-N	18357	HMDB00216	C00547	439260	
Sulfate derivative of norepinephrine	CVJMZWLHUCMEKO-ZETCQYMHSA-N		HMDB02062		123747	
nervonate	GWHCXVQVJPWHRF-UHFFFAOYSA-N	44247	HMDB02368	C08323	5281120	LMFA01030092
nervonyl coenzyme A	QHZAQVTVYPHLKK-UYJVTQAVSA-N			C16532	24892792	
Nervonyl carnitine	QGIHQXKFCAACHN-LJAQVGFWSA-N					
N-Trimethyl-2-aminoethylphosphonate	VCANKBLUHKRQLL-UHFFFAOYSA-O	7347		C06459	151927	
N-(omega)-Hydroxyarginine	FQWRAVYMZULPNK-UHFFFAOYSA-N	7101	HMDB04224	C05933	440849	
O2	MYMOFIZGZYHOMD-UHFFFAOYSA-N	15379	HMDB01377	C00007	977	
superoxide	OUUQCZGPVNCOIJ-UHFFFAOYSA-N	18421	HMDB02168	C00704	5359597	
Oxaloacetate	KHPXUQMNIQBQEV-UHFFFAOYSA-N	30744	HMDB00223	C00036	970	LMFA01170120
9-O-Acetylated GD3						
9-O-Acetylated GT3						
Octanoyl-CoA (n-C8:0CoA)	KQMZYOXOBSXMII-UHFFFAOYSA-N	57386	HMDB01070	C01944	380	
octadecanoate (n-C18:0)	QIQXTHQIDYTFRH-UHFFFAOYSA-N	28842	HMDB00827	C01530	3033836	LMFA01010018
Octadecanoyl-ACP (n-C18:0ACP)						
octadecenoate (n-C18:1)	ZQPPMHVWECSIRJ-UHFFFAOYSA-N	30823	HMDB00207	C00712	5460221	LMFA01030002
octadecadienoate (n-C18:2)		25626				
Octadecynoyl-ACP (n-C18:2ACP)						
9-octadecenoylcoa	XDUHQPOXLUAVEE-ZXQNDDKTSA-N	15534	HMDB01322	C00510	5280355	
11-octadecenoyl carnitine	HITOYGLMAFIRNI-YSESTWPTSA-N		HMDB06351		53477830	
octanoate (n-C8:0)	WWZKQHOCKIZLMA-UHFFFAOYSA-N	28837	HMDB00482	C06423	379	LMFA01010008
11-octadecenoylcoa						
octadecenoylcoa						
octadecenoyl carnitine (hypothetical, position of double bond unknown)						
5-octenoylcoa						
cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)						
trans-Octadec-2-enoyl-CoA	NBCCUIHOHUKBMK-LFZQUHGESA-N	50570	HMDB06529	C16218	53477850	
Octadecenoyl-CoA (n-C18:1CoA)	XDUHQPOXLUAVEE-LFZQUHGESA-N	15534	HMDB01322	C00510	92160	
octadecenoyl carnitine	IPOLTUVFXFHAHI-QHCPKHFHSA-N					
hydroxide ion	XLYOFNOQVPJJNP-UHFFFAOYSA-M	16234	HMDB01039	C01328	961	
omeprazole	SUBDBMMJDZJVOS-UHFFFAOYSA-N	7772	HMDB01913	C07324	4594	
w-hydroxydecanoicacid						
w-hydroxydocosanoicacid				C19623	5282922	LMFA01050079
w-hydroxypalmiticacid	UGAGPNKCDRTDHP-UHFFFAOYSA-M	55329	HMDB06294		7058075	
naphthalene epoxide	XQIJIALOJPIKGX-UHFFFAOYSA-N	52431	HMDB06215		108063	
4-oxo-retinoic acid	GGCUJPCCTQNTJF-UHFFFAOYSA-N	269971	HMDB06285	C16678	104857	LMPR01090026
Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N	15729	HMDB00214	C00077	6262	LMFA01100057
D-ornithinium(1+)	AHLPHDHHMVZTML-SCSAIBSYSA-N	16176	HMDB03374	C00515	71082	
Orotate	PXQPEWDEAKTCGB-UHFFFAOYSA-N	16742	HMDB00226	C00295	967	
Orotidine 5'-phosphate	KYOBSHFOBAOFBF-XVFCMESISA-N	15842	HMDB00218	C01103	160617	
oxalate(2-)	MUBZPKHOEPUJKR-UHFFFAOYSA-N	16995	HMDB02329	C00209	971	
phosphatidate(2-)		57739				
phenylacetate	WLJVXDMOQOGPHL-UHFFFAOYSA-N	30745	HMDB00209	C07086	999	
phenylacetaldehyde	DTUQWGWMVIHBKE-UHFFFAOYSA-N	16424	HMDB06236	C00601	998	
1-alkyl 2-acteylglycerol 3-phosphocholine		36707				
1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-)		57836				
1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)		57658				
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)		57923				
1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)		58088				
phosphatidylinositol 4,5-bisphosphate		28910				
1-phosphatidyl-1D-myo-inositol 4-phosphate(3-)		58178				
1-phosphatidyl-1D-myo-inositol 5-phosphate(3-)		57795				
1-phosphatidyl-1D-myo-inositol(1-)		57880				
Palmitoyl-ACP (n-C16:0ACP)		5697				
