Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
3-hydroxyhexadecanoylcarnitine	MHJOYNGEDDXLLU-LBAQZLPGSA-N		HMDB13336		53481691	
3,7,10,13-hexadecatetraenoylcoa						
3,7,10-hexadecatrienoylcoa						
(S)-3-Hydroxyisobutyryl-CoA	WWEOGFZEFHPUAM-UQCJFRAESA-N	28259	HMDB01052	C06000		
(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)	PEKYNTFSOBAABV-LQUDNSJZSA-N	15449	HMDB01356	C04405	11966220	
3-hydroxy-2-methylpropanoate	DBXBTMSZEOQQDU-UHFFFAOYSA-N	37373	HMDB00023	C06001		
(S)-3-Hydroxyoctadecanoyl-CoA					49859586	
3-hydroxypropanoyl-CoA(4-)	BERBFZCUSMQABM-IEXPHMLFSA-N	27762	HMDB06807	C05668	440753	
3-hydroxypropionate	ALRHLSYJTWAHJZ-UHFFFAOYSA-N	33404	HMDB00700	C01013	68152	
(S)-3-Hydroxytetradecanoyl-CoA	OXBHKMHNDGRDCZ-UOBIXJHKSA-N	62614	HMDB03934	C05260	46173488	
3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	ZRJHLGYVUCPZNH-MQWKRIRWSA-O	15786	HMDB01422	C01259	439460	
3-Hydroxykynurenamine	ODOPEICAGBYCFH-UHFFFAOYSA-N			C05636	440736	
3-iodo-L-tyrosine	UQTZMGFTRHFAAM-ZETCQYMHSA-N	27847	HMDB00021	C02515	439744	
3-hydroxyisovalerylcoa	PEVZKILCBDEOBT-XBTRWLRFSA-N	28291	HMDB06870	C05998	11953876	
3-hydroxy-isovaleryl carnitine						
3-Methoxy-4-hydroxyphenylglycolaldehyde	VISAJVAPYPFKCL-UHFFFAOYSA-N		HMDB04061	C05583	440729	
3-methylbut-2-enoyl-CoA(4-)	BXIPALATIYNHJN-ZMHDXICWSA-N	15486	HMDB01493	C03069		
trans-3-methylglutaconyl-CoA(5-)	ZMMFWDHIXCPOHZ-BIEWRJSYSA-N	57346	HMDB01057	C03231	5462214	
3-Methylimidazoleacetic acid	ZHCKPJGJQOPTLB-UHFFFAOYSA-N	1606	HMDB02820	C05828	75810	
1-methylimidazole-4-acetaldehyde	GCQHUBANENYTLB-UHFFFAOYSA-N	28104	HMDB04181	C05827	193545	
3-methyl-2-oxobutanoate	QHKABHOOEWYVLI-UHFFFAOYSA-N	16530	HMDB00019	C00141	49	LMFA01020274
3-methyl-2-oxopentanoate	JVQYSWDUAOAHFM-UHFFFAOYSA-N	35932	HMDB00491	C03465	47	
3-Methoxy-4-hydroxymandelate	CGQCWMIAEPEHNQ-UHFFFAOYSA-N	20106	HMDB00291	C05584	1245	
(4-hydroxy-3-methoxyphenyl)acetaldehyde	GOQGGGANVKPMNH-UHFFFAOYSA-N	28111	HMDB05175	C05581	151276	
3-Methoxytyramine	DIVQKHQLANKJQO-UHFFFAOYSA-N	742324	HMDB00022	C05587	1669	
3-hydroxyoctadecadienoylcoa						
3-hydroxyoctadecadienoylcarnitine						
3-hydroxyoctadecanoyl carnitine						
3-hydroxyoctadecenoylcoa						
3-hydroxy-octadecenoyl carnitine						
3,6,9,12-octadecatetraenoylcoa						
3,6,9,12,15-octadecapentenoylcoa						
3-Oxodecanoyl-CoA	AZCVXMAPLHSIKY-HSJNEKGZSA-N	28528	HMDB03939	C05265	440606	LMFA07050074
3-Oxododecanoyl-CoA	HQANBZHVWIDNQZ-GMHMEAMDSA-N	27868	HMDB03937	C05263	440604	LMFA07050013
3-oxopalmitoyl-CoA(4-)	NQMPLXPCRJOSHL-BBECNAHFSA-N	15491	HMDB06402	C05259	169621	
3-Oxooctadecanoyl-CoA	LGOGWHDPDVAUNY-LFZQUHGESA-N	50571	HMDB06498	C16216	22833663	LMFA07050079
